Name,Rank,Gender,TotalBirths,LivingEstimate,PeakYear,PeakBirths,1940s,1950s,1960s,1970s,1980s,1990s,2000s,2010s,2020s
"Peter",141,male,17376,10518,1952,328,91,98,79,47,21,7,30,28,14
"Betty",142,male,17373,16502,2010,493,1,2,5,13,33,61,97,98,42
"Ian",143,male,17365,16495,2010,493,1,2,5,13,33,61,97,98,42
"Tara",144,male,17256,10391,1952,328,91,98,79,47,20,8,28,27,13
"Bradley",145,female,17240,10697,1952,324,88,98,81,50,23,8,30,29,14
"Gwendolyn",146,female,17240,10697,1952,324,88,98,81,50,23,8,30,29,14
"Cindy",147,female,17142,10608,1952,324,88,98,80,49,23,9,30,28,14
"Curtis",148,male,17122,10878,1954,321,86,98,83,53,25,9,31,29,15
"Evan",149,male,17114,10862,1954,321,86,98,83,53,25,9,31,29,15
"Teresa",150,male,17114,10862,1954,321,86,98,83,53,25,9,31,29,15
"Erik",151,female,16993,11034,1955,318,83,98,86,56,27,10,32,30,15
"Jill",152,female,16987,11043,1955,318,83,98,86,56,28,10,32,30,15
"Felicia",153,female,16986,11041,1955,318,83,98,86,56,28,10,32,30,15
"Nicholas",154,female,16979,11024,1955,318,83,98,86,56,27,10,32,30,15
"Gloria",155,male,16888,11218,1955,314,81,98,88,59,30,11,33,31,15
"Reginald",156,male,16877,11201,1955,314,81,98,88,59,30,11,33,31,15
"Jose",157,female,16854,16010,2011,488,1,2,4,12,30,57,94,98,43
"Louise",158,female,16854,16010,2011,488,1,2,4,12,30,57,94,98,43
"Kirk",159,female,16798,16023,2011,488,1,2,4,12,31,57,94,98,43
"Kaitlyn",160,male,16773,11103,1955,314,81,98,88,59,29,12,32,30,15
"Aaron",161,female,16752,11363,1956,311,78,98,91,63,33,13,34,32,16
"Orlando",162,female,16747,11346,1956,311,78,98,91,63,33,12,34,32,16
"Logan",163,female,16744,11342,1956,311,78,98,91,63,32,12,34,32,16
"Billy",164,male,16643,11497,1957,308,76,98,94,67,36,14,36,33,16
"Erin",165,male,16597,11452,1957,308,76,98,94,67,35,14,36,32,15
"Theresa",166,male,16597,11452,1957,308,76,98,94,67,35,14,36,32,15
"Vincent",167,female,16523,11632,1958,305,74,98,97,71,39,16,38,34,17
"Danielle",168,male,16378,15564,2012,483,1,2,4,11,28,54,92,98,44
"Bonnie",169,female,15884,15098,2012,478,1,1,3,10,26,51,90,98,45
"Laila",170,female,15884,15098,2012,478,1,1,3,10,26,51,90,98,45
"Tucker",171,male,15393,14626,2014,474,1,1,3,9,23,48,88,98,46
"Theodore",172,male,14430,13709,2016,466,1,1,2,7,19,42,83,98,47
"Marcus",173,female,13954,13251,2017,462,1,1,2,6,17,39,82,98,48
"Francis",174,male,13873,9295,1959,302,71,97,98,74,42,18,4,1,1
"Penelope",175,male,13862,9289,1959,302,71,97,98,74,42,18,4,1,1
"Santiago",176,male,13862,9289,1959,302,71,97,98,74,42,18,4,1,1
"Hudson",177,female,13758,9412,1960,299,67,94,98,76,44,20,5,1,1
"Marion",178,male,13667,9524,1961,296,63,91,98,79,47,21,7,2,1
"Tiffany",179,female,13567,9633,1962,293,59,88,98,81,50,22,8,3,1
"Lorraine",180,male,13408,12793,2018,458,1,1,2,5,16,37,80,98,49
"Wilbur",181,female,13180,10023,1967,283,47,79,98,91,63,33,13,5,2
"Grant",182,male,13078,10060,1967,280,43,76,98,94,66,35,16,6,2
"Megan",183,male,13077,10093,1967,280,44,76,98,94,67,36,16,6,2
"Sebastian",184,male,13077,10093,1967,280,44,76,98,94,67,36,16,6,2
"Sam",185,female,13018,12351,2019,454,1,1,2,5,15,34,78,98,50
"Nina",186,male,12927,10224,1969,275,39,71,97,98,74,42,19,8,2
"Bella",187,male,12917,10236,1969,275,39,71,97,98,74,42,20,8,2
"Mason",188,male,12917,10236,1969,275,39,71,97,98,74,42,20,8,2
"Albert",189,male,12745,10307,1971,271,32,63,91,98,79,47,23,10,3
"Miranda",190,male,12731,10331,1971,270,33,63,91,98,79,47,24,10,3
"Stuart",191,female,12652,10337,1972,268,29,59,88,98,81,49,25,12,3
"Sabrina",192,male,12575,10380,1974,266,27,56,86,98,83,53,28,13,4
"Maureen",193,female,12510,10432,1975,264,25,53,83,98,86,56,31,14,4
"Yvette",194,female,12507,10435,1975,264,25,53,83,98,86,56,32,14,4
"Percy",195,female,12489,10402,1975,264,25,53,83,98,86,56,30,14,4
"Xander",196,male,12426,10458,1975,261,23,50,81,98,88,59,34,15,4
"Ximena",197,male,12423,10440,1975,261,22,50,81,98,88,59,33,16,5
"Martin",198,female,12336,10450,1976,259,21,46,79,98,91,63,36,17,5
"Avery",199,female,12190,10487,1978,255,17,42,74,98,97,71,45,21,6
"Alan",200,male,12124,10514,1979,253,16,39,71,97,98,74,48,24,7
"Hazel",201,male,12124,10514,1979,253,16,39,71,97,98,74,48,24,7
"Naomi",202,male,12121,10501,1979,253,16,39,71,97,98,74,48,23,7
"Isaac",203,female,12060,10526,1980,251,14,36,67,94,98,76,51,26,7
"Aria",204,female,12042,10548,1980,251,14,36,67,94,98,76,51,26,8
"Neil",205,male,11966,10493,1981,249,13,33,63,91,98,78,54,28,8
"Carolyn",206,male,11965,10541,1981,249,13,33,63,91,98,78,54,29,9
"Walker",207,male,11954,10532,1981,249,13,33,63,91,98,78,54,29,8
"Allen",208,male,11941,10517,1981,249,13,33,63,91,98,78,54,29,8
"Barry",209,male,11941,10517,1981,249,13,33,63,91,98,78,54,29,8
"Nova",210,male,11818,10523,1983,245,10,28,56,86,98,83,61,33,10
"Bobby",211,male,11817,10472,1983,245,10,27,56,86,98,83,61,33,9
"Felix",212,male,11797,10504,1983,245,10,28,56,86,98,83,61,33,10
"Marshall",213,male,11666,10442,1985,241,8,23,50,81,98,88,68,39,12
"Debra",214,male,11498,10363,1988,238,7,19,45,76,98,94,77,46,14
"Melody",215,male,11486,10346,1988,238,7,19,44,76,98,94,77,45,14
"Jack",216,female,11425,10235,1986,234,9,22,47,79,98,91,72,42,13
"Kevin",217,female,11264,10166,1989,231,7,19,42,74,98,97,81,50,16
"Samuel",218,female,11246,10233,1990,232,6,14,35,67,94,98,88,56,17
"Larry",219,male,11108,10193,2000,236,5,13,33,63,91,98,90,59,19
"Gene",220,female,11072,10130,2000,241,5,12,29,60,88,98,93,62,21
"Jayden",221,female,11068,10131,2000,241,5,12,30,60,88,98,93,62,21
"Wesley",222,female,11068,10136,2000,241,4,11,30,60,88,98,93,62,21
"Gabriel",223,male,10914,10067,2000,244,4,10,28,56,86,98,96,66,22
"Everett",224,female,10824,10007,2000,247,4,9,26,53,83,97,98,69,23
"Richard",225,female,10656,9832,2000,251,3,7,19,44,73,91,98,72,25
"Gracie",226,female,10651,9833,2000,251,3,7,19,44,73,91,98,72,25
"Jocelyn",227,male,10485,9747,2000,252,3,6,18,40,69,88,98,74,26
"Eli",228,male,10355,4870,1941,189,98,79,48,22,8,4,33,33,16
"Benjamin",229,male,10287,4469,1939,191,98,74,42,18,7,4,30,30,15
"Mario",230,male,10285,5157,1943,187,98,83,53,25,10,4,34,34,17
"Mackenzie",231,female,10279,4679,1940,186,98,77,45,21,8,4,33,33,16
"Martha",232,female,10279,4679,1940,186,98,77,45,21,8,4,33,33,16
"Ernest",233,female,10273,5309,1945,186,98,86,57,28,10,4,35,35,17
"Levi",234,male,10247,9553,2000,253,2,5,14,34,61,83,98,78,28
"Wanda",235,female,10243,4593,1940,190,98,76,45,19,8,4,30,30,15
"Ethan",236,male,10234,5446,1946,185,98,89,60,30,12,5,36,36,18
"Beth",237,female,10221,5592,1947,184,98,91,63,33,13,5,37,37,18
"Bruce",238,female,10217,5593,1947,184,98,91,63,33,13,5,37,37,18
"Henry",239,male,10197,5739,1948,183,98,94,67,36,14,6,38,38,19
"Gail",240,female,10185,9449,2000,252,2,5,12,31,57,80,98,80,30
"Jeremy",241,male,10159,5370,1946,185,98,89,59,29,12,5,34,34,17
"Shelby",242,female,10127,9453,2000,252,2,4,12,31,57,80,98,80,30
"Carlos",243,male,10119,6289,1951,178,91,98,79,48,21,8,42,41,20
"Trevor",244,male,10071,6549,1953,176,86,98,84,53,26,9,44,42,21
"Destiny",245,male,10070,6538,1953,176,86,98,84,53,25,10,44,42,21
"Emily",246,male,10060,9339,2002,252,3,4,11,27,54,78,98,82,31
"Timothy",247,male,10058,9339,2002,252,3,4,11,28,54,77,98,82,31
"Heather",248,female,10032,6060,1950,179,94,98,76,43,20,8,40,38,19
"Edwin",249,female,10012,6341,1952,173,89,98,81,51,24,10,43,42,21
"Will",250,male,10007,7036,1958,173,77,98,94,67,37,14,49,47,23
